"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"1/15/2011","South Carolina State Budget and Control Board Employee Insurance Program","Columbia","South Carolina","HACK","GOV","5,600","People who are covered by South Carolina's state insurance program may have had their personal information obtained.  A virus affected one of the Insurance Program's computers.  The breach occurred sometime between November 8 and November 18.  Insured current and former employees, dependents and survivors may have had their names, Social Security numbers, health information, addresses and dates of birth exposed.","Databreaches.net","",2011,34.00071,-81.034814,NA,NA,"",5600,2011-01-15,2011-01-15,0.493541307048872,-0.706148721384745,8.63052187672324,1
"1/15/2011","Omaha School Employees Retirement System","Omaha","Nebraska","HACK","EDU","4,300","A breach of Omaha School Employees Retirement System's website was discovered on December 21. The incident occurred because of an attempt to access administrator log-in information.   The hacker or hackers may have obtained a database with names, Social Security numbers, dates of birth, years of service and beneficiary information of current and former Omaha Public Schools employees.  The website was shut down within two hours of the discovery.","Databreaches.net","",2011,41.254006,-95.999258,NA,NA,"",4300,2011-01-15,2011-01-18,3,1.09861228866811,8.36637030168165,1
"1/18/2011","MIchael's Rock Hill Grille","Rock Hill","South Carolina","HACK","BSR","30","Michael's appears to be the common thread in a number of credit card fraud cases in the Southeast.  It is believed that someone accessed credit card information by using malware on or obtaining passwords for the system on which the information was stored.  The group of affected people most likely includes customers who used their card between September 16 and early December. Many of the cases involved Florida residents, but people in Texas, Kentucky, Tennessee, Georgia and Washington were also affected.","Databreaches.net","",2011,34.924867,-81.025078,NA,NA,"",30,2011-01-18,2011-01-29,11,2.39789527279837,3.40119738166216,1
"1/29/2011","Ankle and Foot Center of Tampa Bay, Inc.","Tampa Bay","Florida","HACK","MED","156,000","The Center experienced a hacking or IT incident on or around November 10 of 2010.  The protected health information of patients was exposed.UPDATE (2/3/2011): Names, Social Security numbers, dates of birth, home addresses, account numbers, and health care services and related diagnostic codes may have also been exposed.","HHS via PHIPrivacy.net","",2011,27.949436,-82.465144,NA,NA,"",156000,2011-01-29,2011-02-03,5,1.6094379124341,11.9576112862317,1
"2/3/2011","SettlementOne Credit Corporation, Sackett National Holdings Inc., ACRAnet Inc., Fajilan and Associates Inc. (Statewide Credit Services and Robert Fajilan)","","","HACK","BSO","1,800","Three companies who resell consumer credit reports have agreed to settle with the FTC over charges that computer hackers could easily access consumer data through their weak information security systems.  Hackers accessed more than 1,800 credit reports via security flaws in the computer networks used by the companies' clients.UPDATE (8/22/2011): FTS has approved the final orders settling charges against the three credit report resellers.  The approval comes after a period of public comment.  The companies will be required to strengthen their data security procedures and submiit to audits for 20 years.","Databreaches.net","",2011,37.09024,-95.712891,NA,NA,"",1800,2011-02-03,2011-02-07,4,1.38629436111989,7.49554194388426,1
"2/7/2011","HBGary Federal","Sacramento","California","HACK","BSO","60,000","HBGary announced that it had information about the Anonymous hackers collective.  Anonymous supporters hacked into HBGary's network in order to learn what information had been gathered during the investigation.  Over 60,000 business emails were extracted and the company's website was defaced.  HBGary's leader also had his Twitter account hacked and his personal information exposed.  Anonymous supporters claim the attack was to prevent HBGary from selling trivial information to the FBI.  The hackers published a 23-page document online and claimed that it was the information HBGary was going to sell.  HBGary's email database was also published.  Sensitive information about customers may have been exposed.","Databreaches.net","",2011,38.581572,-121.4944,NA,NA,"",60000,2011-02-07,2011-02-07,0.186217601411045,-1.68083938900936,11.0020998412042,1
"2/7/2011","Integranetics","","KY","HACK","MED","18871","Location of breached information: Hacking/IT Incident
Business associate present: Yes","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2011,NA,NA,NA,NA,"",18871,2011-02-07,2011-02-10,3,1.09861228866811,9.8453816311291,1
"2/10/2011","Saint Louis University","","MO","HACK","MED","800","Location of breached information: Hacking/IT Incident
Business associate present: No","US Department of Health and Human Services","https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf",2011,NA,NA,NA,NA,"",800,2011-02-10,2011-03-04,22,3.09104245335832,6.68461172766793,1
"3/4/2011","University of South Carolina","Sumter","South Carolina","HACK","EDU","31,000","A computer security problem may have exposed the information of faculty, staff, retirees and students on eight University system campuses.  Social Security numbers and other private information could end up on the internet.","Databreaches.net","",2011,33.920435,-80.341469,NA,NA,"",31000,2011-03-04,2011-03-14,10,2.30258509299405,10.3417424834673,1
"3/14/2011","Virginia Polytechnic Institute and State University (Virginia Tech)","Blacksburg","Virginia","HACK","EDU","370","A virus infected a Virginia Tech computer on February 15 and sent Social Security numbers and some financial information overseas.  The virus was discovered on February 23.  Certain current and former employees were affected.","Databreaches.net","",2011,37.229573,-80.413939,NA,NA,"",370,2011-03-14,2011-03-16,2,0.693147180559945,5.91350300563827,1
"3/16/2011","St. Louis University","St. Louis","Missouri","HACK","EDU","12,800","The University's network was hacked on December 12, 2010.  The breach was discovered on December 13 and a statement was available on the University's website on January 31, 2011. Eight hundred students and 12,000 current and former employees and contractors were affected.  Only people who worked for Saint Louis University at some point had their Social Security numbers exposed.  Some students who received counseling through the University's Student Health Services may have had their names, dates of birth, tests, diagnosis and treatment information exposed.","PHIPrivacy.net","",2011,38.646991,-90.224967,NA,NA,"",12800,2011-03-16,2011-03-17,1,0,9.45720044990771,1
"3/17/2011","Walnut Township School District","Millersport","Ohio","HACK","GOV","80","A hacker accessed the District's payroll records sometime between March 14 and March 15.  Names, Social Security numbers, and other information found on payroll records may have been exposed.  The breach affected 2008 school personnel.","Databreaches.net","",2011,39.900064,-82.534048,NA,NA,"",80,2011-03-17,2011-03-26,9,2.19722457733622,4.38202663467388,1
"3/26/2011","Portland Center for the Performing Arts (PCPA)","Portland","Oregon","HACK","BSO","864","The PCPA website was hacked sometime between December 20, 2010 and March 15, 2011.  Ticket purchases for PCPA events were not involved since the Ticketmaster website is responsible for those purchases.  Information from a total of 864 gift card purchases from the PCPA website between January 1, 2006 and March 15, 2011 was compromised.  The total number of customers affected is likely to be lower than 864 since some customers purchased more than one gift card.","Databreaches.net","",2011,45.523452,-122.676207,NA,NA,"",864,2011-03-26,2011-04-02,7,1.94591014905531,6.76157276880406,1
"4/2/2011","Epsilon","Irving","Texas","HACK","BSO","250,000,000","Epsilon, an email service provider for companies, reported a breach that affected approximately two percent of its 2,500 clients. Only e-mail addresses and names were stolen. Epsilon has not disclosed the names of the companies affected or the total number of names stolen. However, millions of customers have received notices from a growing list of affected companies (http://www.databreaches.net/?p=17374), making this the largest security breach ever.The Secret Service is investigating this breach. Customers are expected to receive targeted spam that has their name and email address, and appears to come from one of the affected companies. These phishing attempts could result in further loss of consumer personal information. People who receive spam should report it to phishing-report@us.cert.gov.UPDATE (05/02/2011): The original estimate of companies affected was changed from 2% to 3% of Epsilon customers.  A total of 75 companies were affected and these companies may end up paying a combined amount of $412 million in damage control. Epsilon itself could pay $225 million. Some estimate the total cost of the Epsilon breach could run as high as $3-$4 billion in forensic audits and monitoring, fines, litigation, and lost business for provider and customers.  Conservative estimates place the number of customer email addresses breached at 50-60 million.  The total of customer emails exposed could reach 250 million.","Databreaches.net","",2011,32.814018,-96.948895,NA,NA,"",2.5e+08,2011-04-02,2011-04-06,4,1.38629436111989,19.3369714758265,1
"4/6/2011","Hartford Life Insurance Company","Hartford","Connecticut","HACK","BSF","300","People who logged into Hartford's server between February 22 and February 28 are being notified of a possible breach.  The firm's Windows servers were hacked and employee, contractor and some customer information may have been exposed by the breach.  Social Security numbers, user account logins and passwords, bank account numbers and credit card numbers may have been exposed.","Databreaches.net","",2011,41.763711,-72.685093,NA,NA,"",300,2011-04-06,2011-04-07,1,0,5.7037824746562,1
